variant,k,entity,entity_base,es_LOO,kappa_raw,kappa_used,n_train,d_features,kappa_inf,es_artefacto_standardscaler,genuinamente_singular,motivo_singularidad,historia_corta_registro,oos_MASE,oos_RMSE,oos_Count
nnls_directo,2,Nicaragua,Nicaragua,False,308.65788655392925,17.568662059301072,49,14,False,False,False,,False,0.7883281016953665,0.8308417763745755,4.0
nnls_directo,2,Costa Rica,Costa Rica,False,392.11543671760415,19.80190487598615,53,14,False,False,False,,False,0.3035068030015116,0.31946488225776504,6.0
nnls_directo,2,Panamá,Panamá,False,2.2370961239828256e+17,inf,9,14,True,False,True,insuficiente_muestra (n_train<=D_features),False,,,
nnls_directo,2,República Dominicana,República Dominicana,False,3.93153948481934e+180,inf,2,14,True,False,True,insuficiente_muestra (n_train<=D_features),True,,,
nnls_directo,2,Colombia,Colombia,False,4.039245600038499e+17,inf,4,14,True,False,True,insuficiente_muestra (n_train<=D_features),False,,,
nnls_directo,2,__LOO__Guatemala,Guatemala,True,3195.7205555697983,56.53070453806408,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__El Salvador,El Salvador,True,4367.926400429935,66.09028975900856,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__Honduras,Honduras,True,6601.125950799149,81.24731349896517,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__Nicaragua,Nicaragua,True,3352.8948143406456,57.90418650098707,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__Costa Rica,Costa Rica,True,7112.833218293063,84.33761449254534,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__Panamá,Panamá,True,7015.477185919711,83.75844546024678,55,14,False,False,False,,False,,,
nnls_directo,2,__LOO__República Dominicana,República Dominicana,True,6838.275303990381,82.69386497189777,55,14,False,False,False,,True,,,
nnls_directo,2,__LOO__Colombia,Colombia,True,7417.633966094142,86.12568702828929,55,14,False,False,False,,False,,,
nnls_directo,3,BCIE Systemic Hub,BCIE Systemic Hub,False,54051.93833680965,232.49072742128823,54,27,False,False,False,,False,0.41897283871007546,0.3771333056187062,6.0
nnls_directo,3,Guatemala,Guatemala,False,1446.8057050020502,38.03689925588164,52,27,False,False,False,,False,1.889047308994016,2.2055585550915113,6.0
nnls_directo,3,El Salvador,El Salvador,False,4582.5111033643125,67.69424719549231,52,27,False,False,False,,False,0.5551455898544361,0.4705874652402672,4.0
nnls_directo,3,Honduras,Honduras,False,644.694455166033,25.39083407779341,53,27,False,False,False,,False,0.8625469944222566,0.8637678084352383,6.0
nnls_directo,3,Nicaragua,Nicaragua,False,3323.1371412997946,57.64665767674496,48,27,False,False,False,,False,0.7796330171569527,0.8214116374079535,4.0
nnls_directo,3,Costa Rica,Costa Rica,False,4291.357102467447,65.50845061873757,52,27,False,False,False,,False,0.30696815805891087,0.3202403418475042,6.0
nnls_directo,3,Panamá,Panamá,False,4.655203410773999e+17,inf,8,27,True,False,True,insuficiente_muestra (n_train<=D_features),False,,,
nnls_directo,3,Colombia,Colombia,False,inf,inf,3,27,True,False,True,insuficiente_muestra (n_train<=D_features),False,,,
nnls_directo,3,__LOO__Guatemala,Guatemala,True,15502.669806653987,124.50971771978365,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__El Salvador,El Salvador,True,28459.4551683504,168.69930399494584,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__Honduras,Honduras,True,66115.34577505353,257.1290449854419,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__Nicaragua,Nicaragua,True,25394.395217315086,159.35618976789087,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__Costa Rica,Costa Rica,True,62731.84203785698,250.46325486547937,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__Panamá,Panamá,True,54238.227147937214,232.89101989548791,54,27,False,False,False,,False,,,
nnls_directo,3,__LOO__Colombia,Colombia,True,60697.18161749327,246.3679800977172,54,27,False,False,False,,False,,,
