entity,t0,mode,train_tuvo_shock,test_es_shock,categoria,y_test,raw_pred,yhat,pred_negativa_cruda,positive_by_construction,mase,error_signed,fit_status,lambda_multiplier,lambda_value,validation_qlike,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
CLP,1100,ssrc_log,True,False,train_tuvo_shock,2.2565521270892826e-06,3.81503770648592e-06,3.81503770648592e-06,False,True,1.8329797155197304e-05,1.5584855793966374e-06,ok,1.0,1.5064924511363968,9.734851610631535,0.11660132121781097,0.11660132121781097,0.11660132121781097,0.11660132121781097,0.11660132121781097
CLP,1120,naive,True,False,train_tuvo_shock,6.166478437380477e-06,1e-14,1e-14,False,True,7.252538220132345e-05,-6.166478427380477e-06,ok,,,,6166461.802742,61652.75490551351,609.2235456327772,3.347350518098195,61652.75490551351
CLP,1120,ewma_0.94,True,False,train_tuvo_shock,6.166478437380477e-06,2.3865797157055758e-05,2.3865797157055758e-05,False,True,0.0002081657902422572,1.769931871967528e-05,ok,,,,0.6116998482949969,0.6116998482949969,0.6116998482949969,0.6116998482949969,0.6116998482949969
CLP,1120,garch_11,True,False,train_tuvo_shock,6.166478437380477e-06,0.04257678012741913,0.04257678012741913,False,True,0.50068285518171,0.04257061364898175,ok,,,,7.840081228898596,7.840081228898596,7.840081228898596,7.840081228898596,7.840081228898596
CLP,1120,gjr_garch_11,True,False,train_tuvo_shock,6.166478437380477e-06,0.04245969845716535,0.04245969845716535,False,True,0.4993058305178076,0.04245353197872797,ok,,,,7.837327945469205,7.837327945469205,7.837327945469205,7.837327945469205,7.837327945469205
CLP,1120,ols_clip_legacy,True,False,train_tuvo_shock,6.166478437380477e-06,-0.013215579018864498,1e-12,True,False,7.252537055770395e-05,-6.1664774373804766e-06,ok,,,,6166461.802742,61652.75490551351,609.2235456327772,3.347350518098195,61652.75490551351
CLP,1120,ridge_clip,True,False,train_tuvo_shock,6.166478437380477e-06,0.04202643507830848,0.04202643507830848,False,False,0.4942101194867094,0.0420202685998711,ok,0.01,5.0,8.274612151208494,7.827072915179585,7.827072915179585,7.827072915179585,7.827072915179585,7.827072915179585
CLP,1120,log_ridge,True,False,train_tuvo_shock,6.166478437380477e-06,3.585702401093992e-06,3.585702401093992e-06,False,True,3.0353105198035137e-05,-2.580776036286485e-06,ok,100.0,50000.0,9.15025868579118,0.177567185706192,0.177567185706192,0.177567185706192,0.177567185706192,0.177567185706192
CLP,1120,softplus_ridge,True,False,train_tuvo_shock,6.166478437380477e-06,0.042005479219860614,0.042005479219860614,False,True,0.49396365277784365,0.04199931274142323,ok,0.01,5.0,8.274223856049817,7.826574228853865,7.826574228853865,7.826574228853865,7.826574228853865,7.826574228853865
CLP,1120,nnls_signed_clip_legacy,True,False,train_tuvo_shock,6.166478437380477e-06,0.04265080794382361,0.04265080794382361,False,False,0.5015535134904174,0.04264464146538623,ok,,,,7.841818157618677,7.841818157618677,7.841818157618677,7.841818157618677,7.841818157618677
CLP,1120,nnls_nonneg,True,False,train_tuvo_shock,6.166478437380477e-06,0.03316759950134873,0.03316759950134873,False,True,0.3900193007489201,0.03316143302291135,ok,,,,7.590386759213477,7.590386759213477,7.590386759213477,7.590386759213477,7.590386759213477
CLP,1120,ssrc_log,True,False,train_tuvo_shock,6.166478437380477e-06,3.521225640288594e-06,3.521225640288594e-06,False,True,3.1111431327865e-05,-2.645252797091883e-06,ok,1.0,1.5066036170745971,9.027731448749906,0.19091190141866754,0.19091190141866754,0.19091190141866754,0.19091190141866754,0.19091190141866754
