entity,t0,variant,raw_pred,pred_negativa,positive_by_construction,yhat_clipped,y_test,mase,qlike_floor_1e-12,qlike_floor_1e-10,qlike_floor_1e-08,qlike_floor_1e-06,qlike
PEN,860,nnls_intermedia_legacy,0.00035441187324032446,False,False,0.00035441187324032446,1.3960114757616921e-06,1.300615673485506,4.540779448110105,4.540779448110105,4.540779448110105,4.540779448110105,4.540779448110105
PEN,860,nnls_nonneg,0.00011215253819568246,False,True,0.00011215253819568246,1.3960114757616921e-06,0.4080600624365648,3.3986881035090795,3.3986881035090795,3.3986881035090795,3.3986881035090795,3.3986881035090795
PEN,880,nnls_original_legacy,0.00017078490293512345,False,False,0.00017078490293512345,1.1225195272692955e-07,0.6346316620683603,6.328071514352683,6.328071514352683,6.328071514352683,4.146260205628416,6.328071514352683
PEN,880,nnls_intermedia_legacy,0.00026659218038484043,False,False,0.00026659218038484043,1.1225195272692955e-07,0.9908828328105883,6.773150495140349,6.773150495140349,6.773150495140349,4.589471124180879,6.773150495140349
PEN,880,nnls_nonneg,9.951102855144353e-05,False,True,9.951102855144353e-05,1.1225195272692955e-07,0.3696058532946296,5.7884058693131735,5.7884058693131735,5.7884058693131735,3.6103176151480554,5.7884058693131735
PEN,900,nnls_original_legacy,0.0002247268964105057,False,False,0.0002247268964105057,5.244980580856069e-06,0.7941577966177827,2.7809536857636807,2.7809536857636807,2.7809536857636807,2.7809536857636807,2.7809536857636807
PEN,900,nnls_intermedia_legacy,0.00029473087799351523,False,False,0.00029473087799351523,5.244980580856069e-06,1.0474552382693492,3.0465869524754448,3.0465869524754448,3.0465869524754448,3.0465869524754448,3.0465869524754448
PEN,900,nnls_nonneg,0.00011328292304191302,False,True,0.00011328292304191302,5.244980580856069e-06,0.39091682798406324,2.1189167283033363,2.1189167283033363,2.1189167283033363,2.1189167283033363,2.1189167283033363
PEN,920,nnls_original_legacy,9.735192468798427e-05,False,False,9.735192468798427e-05,2.3542430772847428e-07,0.3544093683760984,5.027116611516492,5.027116611516492,5.027116611516492,3.58860451300509,5.027116611516492
PEN,920,nnls_intermedia_legacy,3.15603570391025e-05,False,False,3.15603570391025e-05,2.3542430772847428e-07,0.11431476196404514,3.9057271314843067,3.9057271314843067,3.9057271314843067,2.4835871285564073,3.9057271314843067
