escenario,t0,mode,ventana_incluye_shock,mase,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
limpio,8460,ridge,False,0.027893520628343035,0.0010713700814239321,1e-06,0.05528716529694107,107.13700814239321,400.0,100.0
limpio,8460,nnls,False,1.2046078756881013,,,,,,
limpio,8460,ssrc,False,0.05152954755061973,0.00025511306970151855,1e-06,0.023555833406687564,25.511306970151857,400.0,100.0
limpio,8460,naive,False,1.5258677311345177,,,,,,
limpio,8480,ols,False,0.12037665980542978,,,,,,
limpio,8480,ridge,False,0.12027472389107545,1.08437246935199e-05,1e-08,0.05964849359067842,108.43724693519898,400.0,100.0
limpio,8480,nnls,False,1.752851774810839,,,,,,
limpio,8480,ssrc,False,0.2315332046480593,0.025614710453172495,0.0001,0.022598178243789634,25.614710453172496,400.0,100.0
limpio,8480,naive,False,1.6331732769448726,,,,,,
limpio,8500,ols,False,0.26421317872103744,,,,,,
limpio,8500,ridge,False,0.26110271273347835,0.0010600650634199635,1e-06,0.051395909945554014,106.00650634199636,400.0,100.0
limpio,8500,nnls,False,1.35466721549529,,,,,,
limpio,8500,ssrc,False,0.019805334085679586,0.00025490035357548824,1e-06,0.017695937221483916,25.490035357548827,400.0,100.0
limpio,8500,naive,False,1.2072637617300017,,,,,,
limpio,8520,ols,False,0.06414706034546111,,,,,,
limpio,8520,ridge,False,0.06632481028650528,0.001079803047734316,1e-06,0.05399172438305931,107.9803047734316,400.0,100.0
limpio,8520,nnls,False,0.6256779655893467,,,,,,
limpio,8520,ssrc,False,0.13227099686509128,0.00025606977536879927,1e-06,0.017549397522722002,25.60697753687993,400.0,100.0
limpio,8520,naive,False,0.9175942736767795,,,,,,
limpio,8540,ols,False,0.15757581968907272,,,,,,
limpio,8540,ridge,False,0.1854215756822133,0.10598505292056407,0.0001,0.05424126160603394,105.98505292056407,400.0,100.0
limpio,8540,nnls,False,0.49226442229593237,,,,,,
limpio,8540,ssrc,False,0.12075641029564474,0.00025393150211216434,1e-06,0.017515037605587595,25.393150211216437,400.0,100.0
limpio,8540,naive,False,0.4566029430880159,,,,,,
limpio,8560,ols,False,0.09877499898161479,,,,,,
limpio,8560,ridge,False,0.23777756296755193,0.10613936047442508,0.0001,0.05939331073055754,106.13936047442508,400.0,100.0
limpio,8560,nnls,False,1.685742054853792,,,,,,
limpio,8560,ssrc,False,0.1509413668082755,2.536749628508039e-06,1e-08,0.01955171754238404,25.367496285080392,400.0,100.0
limpio,8560,naive,False,1.6473382822474398,,,,,,
limpio,8580,ols,False,0.7491846863792029,,,,,,
limpio,8580,ridge,False,0.5956000407982482,0.10775069764969039,0.0001,0.06084707414911601,107.7506976496904,400.0,100.0
limpio,8580,nnls,False,2.2777685896833577,,,,,,
limpio,8580,ssrc,False,0.29835507038970716,2.544544641127964e-06,1e-08,0.02197898497635543,25.44544641127964,400.0,100.0
limpio,8580,naive,False,2.8805356499179804,,,,,,
limpio,8600,ols,False,0.018042424596429577,,,,,,
limpio,8600,ridge,False,0.013397930127569372,0.10806992957973201,0.0001,0.06438899447335969,108.069929579732,400.0,100.0
limpio,8600,nnls,False,0.15713367728013233,,,,,,
limpio,8600,ssrc,False,0.09435353918950541,2.5706929411526852e-06,1e-08,0.030815526564447877,25.706929411526854,400.0,100.0
limpio,8600,naive,False,0.15301728453603694,,,,,,
limpio,8620,ols,False,0.49019868554214935,,,,,,
limpio,8620,ridge,False,0.5336083557590624,0.10468034397434477,0.0001,0.06697827706182326,104.68034397434477,400.0,100.0
limpio,8620,nnls,False,1.4893394522950545,,,,,,
limpio,8620,ssrc,False,0.03942873753719816,2.5083786936811374e-06,1e-08,0.030648993546849457,25.083786936811375,400.0,100.0
limpio,8620,naive,False,1.4141624023912722,,,,,,
limpio,8640,ols,False,0.14652555130919853,,,,,,
limpio,8640,ridge,False,0.24447948864871866,0.10560957981481306,0.0001,0.07546288505543962,105.60957981481306,400.0,100.0
limpio,8640,nnls,False,2.3122821971804255,,,,,,
limpio,8640,ssrc,False,0.07060496688541419,2.4795757781959212e-06,1e-08,0.031605474368982936,24.79575778195921,400.0,100.0
limpio,8640,naive,False,2.1289950600600385,,,,,,
limpio,8660,ols,False,0.46419446341714277,,,,,,
limpio,8660,ridge,False,0.36222942304514827,0.10559817305991585,0.0001,0.0735033748490461,105.59817305991585,400.0,100.0
limpio,8660,nnls,False,0.6654537385007778,,,,,,
limpio,8660,ssrc,False,0.1733654817256952,2.4474066830986415e-06,1e-08,0.030947529818420468,24.474066830986416,400.0,100.0
limpio,8660,naive,False,0.7995104360285139,,,,,,
limpio,8680,ols,False,0.10235880334337634,,,,,,
limpio,8680,ridge,False,0.11154759374086035,0.10357083364020628,0.0001,0.06997365267787847,103.57083364020627,400.0,100.0
limpio,8680,nnls,False,0.3214511210902701,,,,,,
limpio,8680,ssrc,False,0.14627393537538697,2.43079711125991e-06,1e-08,0.031062829153404546,24.3079711125991,400.0,100.0
limpio,8680,naive,False,0.31838581093704865,,,,,,
limpio,8700,ols,False,0.322181915794769,,,,,,
limpio,8700,ridge,False,0.3211383164935071,0.0010320775319763908,1e-06,0.07398932321305668,103.2077531976391,400.0,100.0
limpio,8700,nnls,False,0.7758439751901309,,,,,,
limpio,8700,ssrc,False,0.0297052796393013,2.424031434830254e-06,1e-08,0.02461042736169553,24.24031434830254,400.0,100.0
limpio,8700,naive,False,0.48004966432972584,,,,,,
limpio,8720,ols,False,0.29536310586180664,,,,,,
limpio,8720,ridge,False,0.22392658493410522,0.1034113478933626,0.0001,0.07233829499438865,103.41134789336262,400.0,100.0
limpio,8720,nnls,False,0.6522692073701667,,,,,,
limpio,8720,ssrc,False,0.11521541854291836,2.4264149504331167e-06,1e-08,0.02166763540671311,24.26414950433117,400.0,100.0
limpio,8720,naive,False,0.816374397581471,,,,,,
limpio,8740,ols,False,0.08947052733981016,,,,,,
limpio,8740,ridge,False,0.08158534336198446,0.10372463018457737,0.0001,0.07043030009341653,103.72463018457736,400.0,100.0
limpio,8740,nnls,False,2.2218270443342996,,,,,,
limpio,8740,ssrc,False,0.5460336782855839,2.4167851395130647e-06,1e-08,0.025673934521839924,24.167851395130647,400.0,100.0
limpio,8740,naive,False,2.036427328309532,,,,,,
limpio,8760,ols,False,0.18288685916574668,,,,,,
limpio,8760,ridge,False,0.18086176318876546,0.001032167240465374,1e-06,0.06469420329899919,103.21672404653742,400.0,100.0
limpio,8760,nnls,False,1.1697438986503377,,,,,,
limpio,8760,ssrc,False,0.014843721133894271,0.024242400845222507,0.0001,0.027205743905518914,24.242400845222505,400.0,100.0
limpio,8760,naive,False,0.9517159537895512,,,,,,
limpio,8780,ols,False,0.0677042753071148,,,,,,
limpio,8780,ridge,False,0.07111677458984214,0.0010186208474601609,1e-06,0.058004850783200716,101.86208474601611,400.0,100.0
limpio,8780,nnls,False,0.3117243294515155,,,,,,
limpio,8780,ssrc,False,0.11273891240902582,0.024422373541288893,0.0001,0.025926170201745088,24.42237354128889,400.0,100.0
limpio,8780,naive,False,0.46944658719882587,,,,,,
limpio,8800,ols,False,0.34346227383751143,,,,,,
limpio,8800,ridge,False,0.34241780613901945,0.0010269743636276828,1e-06,0.04848187440420074,102.69743636276829,400.0,100.0
limpio,8800,nnls,False,1.5713803922272545,,,,,,
limpio,8800,ssrc,False,0.008264260492372286,0.02489977722977342,0.0001,0.025465491325642707,24.89977722977342,400.0,100.0
limpio,8800,naive,False,1.4166076113464074,,,,,,
limpio,8820,ols,False,0.27122517763898124,,,,,,
limpio,8820,ridge,False,0.2732746101685111,0.0010525751218657925,1e-06,0.048041682709040946,105.25751218657925,400.0,100.0
limpio,8820,nnls,False,1.3471275612077116,,,,,,
limpio,8820,ssrc,False,0.09629076888502813,0.02521231694848364,0.0001,0.02523537987918364,25.212316948483643,400.0,100.0
limpio,8820,naive,False,1.7203252787295324,,,,,,
limpio,8840,ols,False,0.44420417268754825,,,,,,
