ubicacion,magnitud_sigma,signo,t0,kappa_raw,kappa_lw,ventana_incluye_shock
5000,10,1,5720,1231089.8963058211,582.7376620168251,False
5000,10,1,5740,1218561.6344664549,622.0778224679083,False
5000,10,1,5760,1261132.9049478155,660.9041568792742,False
5000,10,1,5780,1289659.6151667375,695.8699347243239,False
5000,10,1,5800,1301933.42144126,711.0593579389129,False
5000,10,1,5820,1265116.0332638843,716.095133783737,False
5000,10,1,5840,1236076.2976807249,675.5987913981182,False
5000,10,1,5860,1229336.6281085445,672.8587388672672,False
5000,10,1,5880,1385471.4938092004,693.5926609311929,False
5000,10,1,5900,1346660.2018658181,663.6889388090394,False
5000,10,1,5920,1342676.9151369696,655.4633117719479,False
5000,10,1,5940,1313229.9829531997,629.5925234230335,False
5000,10,1,5960,1303256.221364253,629.5803329948839,False
5000,10,1,5980,1324586.8097853283,645.3995281951521,False
5000,10,1,6000,1312753.9693464863,638.4119378844683,False
5000,10,1,6020,1338487.2167907953,671.8585466797048,False
5000,10,1,6040,1388486.751721994,692.565527840207,False
5000,10,1,6060,1343548.9860855844,623.2982454361468,False
5000,10,1,6080,1319789.8274794423,590.6077273117542,False
5000,10,1,6100,1345712.1029013777,575.1291963056071,False
5000,10,1,6120,1377158.3934280446,608.3264976863453,False
5000,10,1,6140,1387623.550341094,636.0416901502324,False
5000,10,1,6160,1533571.4692878022,640.276401631486,False
5000,10,1,6180,1514522.2228693177,608.2901577386126,False
5000,10,1,6200,1467799.209836467,586.3718552659241,False
5000,10,1,6220,1469046.7140226667,585.4564721628836,False
5000,10,1,6240,1504363.6725943347,558.663851806735,False
5000,10,1,6260,1459079.7497352029,562.1105733921318,False
5000,10,1,6280,1464974.7722333819,561.4631520984796,False
5000,10,1,6300,1489139.3949773773,577.8534366171566,False
5000,10,1,6320,1558506.029583574,610.3932152373751,False
5000,10,1,6340,1567773.1016107255,641.5538337193608,False
5000,10,1,6360,1585989.4691865293,638.1484950346091,False
5000,10,1,6380,1549789.7575539895,625.1032448412951,False
5000,10,1,6400,1525198.0293786707,644.1111833057882,False
5000,10,1,6420,1461228.8812049187,608.0180642879774,False
5000,10,1,6440,1508956.5286934623,655.0089837100714,False
5000,10,1,6460,1581405.7881796253,704.0782589998302,False
5000,10,1,6480,1528533.0843745656,646.5718301633639,False
5000,10,1,6500,1493472.5067056005,647.261112380669,False
5000,10,1,6520,1449694.7390360567,606.4592177503757,False
5000,10,1,6540,1510630.949729341,588.9981043064467,False
5000,10,1,6560,1514651.461987857,593.1752202277906,False
5000,10,1,6580,1287491.9175640163,610.9470092079366,False
5000,10,1,6600,1287371.8668377667,632.8979795507685,False
5000,10,1,6620,1297410.7164349153,659.2409359294534,False
5000,10,1,6640,1299937.937921675,659.5619102684379,False
5000,10,1,6660,1326214.5472619517,691.1054915039525,False
5000,10,1,6680,1321101.8726958323,692.1684378094099,False
5000,10,1,6700,1329885.3574248187,688.4502434355944,False
5000,10,1,6720,1288008.6924386553,676.9034522567919,False
5000,10,1,6740,1297915.9469259705,670.4266720278558,False
5000,10,1,6760,1285434.059790063,640.2970336477723,False
5000,10,1,6780,1290373.017099506,644.0980007775441,False
5000,10,1,6800,1170376.938122971,605.1753138057635,False
5000,10,1,6820,1187522.3812580747,622.2762076721245,False
5000,10,1,6840,1188097.4621750214,622.6746147939973,False
5000,10,1,6860,1244192.2366085278,689.0178925171455,False
5000,10,1,6880,1234795.1385711618,672.0488002645606,False
5000,10,1,6900,1299099.2935094517,698.4325561052227,False
5000,10,1,6920,1286734.2696210425,667.189428160393,False
5000,10,1,6940,1241911.6320583369,633.4758622523128,False
5000,10,1,6960,1214895.4556322896,591.7855933866008,False
5000,10,1,6980,1208019.4876236683,590.7905300237097,False
5000,10,1,7000,1257144.9772086698,610.3911776972583,False
5000,10,1,7020,1214113.3105858907,622.6918647528938,False
5000,10,1,7040,1198979.7067002405,615.9278606596426,False
5000,10,1,7060,1194496.3435984035,607.9775010781954,False
5000,10,1,7080,1406593.7890341969,597.240408298961,False
5000,10,1,7100,1396763.2065246154,570.050905006587,False
5000,10,1,7120,1337534.2900439273,545.0499117710167,False
5000,10,1,7140,1353400.0495656272,547.5251131101758,False
5000,10,1,7160,1325459.0675138654,539.8945425656774,False
5000,10,1,7180,1310764.1361125358,511.75619854516947,False
5000,10,1,7200,1303713.2018899294,512.742304932691,False
5000,10,1,7220,1348192.8768326885,520.601055352812,False
5000,10,1,7240,1368312.6140548098,554.7178378239545,False
5000,10,1,7260,1321070.398566146,552.8653233899478,False
5000,10,1,7280,1308535.6568033067,545.8978672612824,False
5000,10,1,7300,1507492.6700716172,614.3674661644424,False
5000,10,1,7320,1375902.530301656,560.4255033500463,False
5000,10,1,7340,1373608.4905870922,559.8687571065042,False
5000,10,1,7360,1373644.5292800271,559.9146937970386,False
5000,10,1,7380,1278406.3688807427,558.991806906989,False
5000,10,1,7400,1255433.321026665,551.620579085311,False
5000,10,1,7420,1320491.92311827,616.6044720026744,False
5000,10,1,7440,1347896.4046515685,625.4554244126822,False
5000,10,1,7460,1295260.8311941975,621.5248703994149,False
5000,10,1,7480,1363702.7811935432,685.083007203704,False
5000,10,1,7500,1279517.1984495528,656.6694169725623,False
5000,10,1,7520,1378489.6269353027,682.6736334193114,False
5000,10,1,7540,1444145.0288028775,749.1267684150208,False
5000,10,1,7560,1401247.5739329662,763.7477917908112,False
5000,10,1,7580,1415418.1787207369,791.6952893653742,False
5000,10,1,7600,1481113.7854971455,854.8632422688315,False
5000,10,1,7620,1411043.8768445412,853.5017053507802,False
5000,10,1,7640,1356579.6809734867,809.5264940316797,False
5000,10,1,7660,1355384.5162704857,777.6532940677081,False
5000,10,1,7680,1360947.0172103413,779.0440172344646,False
5000,10,1,7700,1356956.8070019127,775.8209615181191,False
5000,10,1,7720,1354207.822230161,776.3006280482151,False
5000,10,1,7740,1333201.3952262572,773.043600542622,False
5000,10,1,7760,1420662.8317276498,827.2950250203419,False
5000,10,1,7780,1378354.3795578456,788.3780223083844,False
5000,10,1,7800,1338031.7966928713,744.5793673310746,False
5000,10,1,7820,1367481.7813692559,781.3486333602168,False
5000,10,1,7840,1372370.8935440104,785.5410023031924,False
5000,10,1,7860,1333199.096351608,747.9092491493315,False
5000,10,1,7880,1360526.8496129073,763.5681095273106,False
5000,10,1,7900,1352853.898696047,727.6960999818297,False
5000,10,1,7920,1294701.0971371992,649.1560094239161,False
5000,10,1,7940,1266329.29926806,617.4602945513968,False
5000,10,1,7960,1329157.4173877633,653.2899445173194,False
5000,10,1,7980,1260725.941814621,589.6826847663784,False
5000,10,1,8000,1246855.9121916713,607.0522969115739,False
5000,10,1,8020,1249035.7560288627,610.8674920789055,False
5000,10,1,8040,1245308.1857456104,615.526534465429,False
5000,10,1,8060,1333532.8255555693,639.9489494924835,False
5000,10,1,8080,1297291.2580937506,610.7798594761999,False
5000,10,1,8100,1272500.775283285,590.6842439226992,False
5000,10,1,8120,1253965.777570217,593.4641132364922,False
5000,10,1,8140,1275315.073081839,624.5160144232248,False
5000,10,1,8160,1326546.4666349336,688.3488528970275,False
5000,10,1,8180,1368208.445107727,726.752449416354,False
5000,10,1,8200,1349844.6900627855,725.7725566532996,False
5000,10,1,8220,1378523.656367913,757.8785523455637,False
5000,10,1,8240,1331275.908171855,717.9956029162174,False
5000,10,1,8260,1319531.0081570903,711.8412124178562,False
5000,10,1,8280,1400412.6676277046,793.82904166291,False
5000,10,1,8300,1348319.077889073,749.3665221050338,False
5000,10,1,8320,1431957.49911884,760.2705451161249,False
5000,10,1,8340,1425218.212588938,765.3285982333708,False
5000,10,1,8360,1413633.8545155802,756.2384831708338,False
5000,10,1,8380,1498272.2558899901,758.0886880735069,False
5000,10,1,8400,1341342.3228004214,745.6689139786902,False
5000,10,1,8420,1393301.5609314397,810.2428189306974,False
5000,10,1,8440,1425280.0752888399,835.085232825317,False
5000,10,1,8460,1474875.4825806117,879.5776847705537,False
5000,10,1,8480,1377525.4001301718,857.5700124774463,False
5000,10,1,8500,1457208.2072938962,881.5573062813844,False
5000,10,1,8520,1481447.4622265606,924.5976309044934,False
5000,10,1,8540,1463228.556553065,888.1824213184963,False
5000,10,1,8560,1456839.7438849881,888.5355746084794,False
5000,10,1,8580,1483089.7810762797,909.086889707609,False
5000,10,1,8600,1432534.3742466262,869.0695921850654,False
5000,10,1,8620,1508992.6674347643,865.8987835937274,False
5000,10,1,8640,1500176.5724309215,870.1809343097367,False
5000,10,1,8660,1458135.6397623722,831.6036025733125,False
5000,10,1,8680,1416654.1863981297,789.1885046778527,False
5000,10,1,8700,1412885.2732594344,784.2733011559288,False
5000,10,1,8720,1417911.9686511657,790.5545204802955,False
5000,10,1,8740,1300549.198002327,782.1303766211349,False
5000,10,1,8760,1265421.3196829166,767.9724510600582,False
5000,10,1,8780,1236691.3037063347,752.5730174506632,False
5000,10,1,8800,1279651.3867323336,782.1015170094026,False
5000,10,1,8820,1304211.8896273668,819.042598142565,False
5000,10,1,8840,1288214.0794147789,813.275400355931,False
5000,10,1,8860,1283050.6111089075,782.9776334963943,False
5000,10,1,8880,1272036.6145705972,774.3490601740211,False
5000,10,1,8900,1400239.7677059225,820.9786751782209,False
5000,10,1,8920,1374202.6193095527,758.3998713955066,False
