H,sigma_ruido,semilla,t0,mode,mase_acumulado,lambda_elegida,lambda_relativa,mae_validacion,lambda_traza_legacy,n_inner_train,n_validacion
10,0.2,3,18440,nnls,1.6039910539532827,,,,,,
10,0.2,3,18440,ssrc,0.5164241250228582,23.94649522197919,0.1,0.20146669414917823,23.94649522197919,400.0,100.0
10,0.2,3,18440,naive,2.781366188170048,,,,,,
10,0.2,3,18500,ols,0.5606894064164621,,,,,,
10,0.2,3,18500,ridge,0.5587990691960121,0.8607209059141122,0.001,0.2508968936194498,86.07209059141123,400.0,100.0
10,0.2,3,18500,nnls,0.9854198765463319,,,,,,
10,0.2,3,18500,ssrc,0.28142076176673014,0.24223825544470337,0.001,0.2029109059524287,24.223825544470337,400.0,100.0
10,0.2,3,18500,naive,2.4256249481567873,,,,,,
10,0.2,3,18560,ols,0.7744592036701218,,,,,,
10,0.2,3,18560,ridge,0.7433923266927703,8.554545343357546,0.01,0.2893318943949322,85.54545343357546,400.0,100.0
10,0.2,3,18560,nnls,1.3221546415713654,,,,,,
10,0.2,3,18560,ssrc,0.5908969231299439,0.024381469472697207,0.0001,0.24713227743769905,24.381469472697205,400.0,100.0
10,0.2,3,18560,naive,2.518855435917034,,,,,,
10,0.2,3,18620,ols,4.188372223749351,,,,,,
10,0.2,3,18620,ridge,4.168690350894169,0.8603795812354287,0.001,0.2739421138028787,86.03795812354286,400.0,100.0
10,0.2,3,18620,nnls,3.805784188227769,,,,,,
10,0.2,3,18620,ssrc,3.265829563701248,2.4165156816934634e-06,1e-08,0.23300944214350164,24.165156816934633,400.0,100.0
10,0.2,3,18620,naive,3.628311182841298,,,,,,
10,0.2,3,18680,ols,2.079821591169978,,,,,,
10,0.2,3,18680,ridge,2.0798218248938114,8.296987085995445e-06,1e-08,0.26560669317217905,82.96987085995445,400.0,100.0
10,0.2,3,18680,nnls,2.497479457901319,,,,,,
10,0.2,3,18680,ssrc,5.526188582657658,0.02384488547968665,0.0001,0.2135890772261545,23.844885479686653,400.0,100.0
10,0.2,3,18680,naive,2.1753802139889973,,,,,,
10,0.2,3,18740,ols,3.045583629298294,,,,,,
10,0.2,3,18740,ridge,3.0396077428636605,0.8996551344765615,0.001,0.3092987497466416,89.96551344765616,400.0,100.0
