nivel_ruido,variante,semilla,mode,mase_mediana,lambda_mediana,lambda_relativa_mediana,n_ventanas
0.2,target_ruidoso,4,ssrc,0.663569427798475,2.426361034971932,0.01,1475
0.5,target_limpio,0,naive,0.8613705680415826,,,1475
0.5,target_limpio,0,nnls,1.4240380058880686,,,1475
0.5,target_limpio,0,ols,1.4028966537375231,,,1475
0.5,target_limpio,0,ridge,1.400162027109232,1.613738930622541,0.001,1475
0.5,target_limpio,0,ssrc,1.3827422891705405,2.7987229532792206,0.01,1475
0.5,target_limpio,1,naive,0.8613705680415826,,,1475
0.5,target_limpio,1,nnls,1.508800577234774,,,1475
0.5,target_limpio,1,ols,1.526309649921492,,,1475
0.5,target_limpio,1,ridge,1.5294980313455024,11.849570169010649,0.01,1475
0.5,target_limpio,1,ssrc,1.461517637336001,2.823385119260621,0.01,1475
0.5,target_limpio,2,naive,0.8613705680415826,,,1475
0.5,target_limpio,2,nnls,1.5204885773767707,,,1475
0.5,target_limpio,2,ols,1.529033655530544,,,1475
0.5,target_limpio,2,ridge,1.5513717814120727,12.242036816586754,0.01,1475
0.5,target_limpio,2,ssrc,1.436915311224986,2.7931909484861053,0.01,1475
0.5,target_limpio,3,naive,0.8613705680415826,,,1475
0.5,target_limpio,3,nnls,1.5510865287471154,,,1475
0.5,target_limpio,3,ols,1.5710627961044081,,,1475
0.5,target_limpio,3,ridge,1.5610853288952073,1.5941420551779701,0.001,1475
0.5,target_limpio,3,ssrc,1.4377020081343765,2.8030041997852253,0.01,1475
0.5,target_limpio,4,naive,0.8613705680415826,,,1475
0.5,target_limpio,4,nnls,1.4979777110546606,,,1475
0.5,target_limpio,4,ols,1.477846438949806,,,1475
0.5,target_limpio,4,ridge,1.4869478571308792,1.4741121459212867,0.001,1475
0.5,target_limpio,4,ssrc,1.4227346138880976,2.8083137628988974,0.01,1475
0.5,target_ruidoso,0,naive,0.8237732183425214,,,1475
0.5,target_ruidoso,0,nnls,0.7574556581637283,,,1475
0.5,target_ruidoso,0,ols,0.7568208055649341,,,1475
0.5,target_ruidoso,0,ridge,0.7579988282205925,12.980795907235503,0.01,1475
0.5,target_ruidoso,0,ssrc,0.7652355497397577,27.294641115660614,0.1,1475
0.5,target_ruidoso,1,naive,0.855453596284513,,,1475
0.5,target_ruidoso,1,nnls,0.8007659170070812,,,1475
0.5,target_ruidoso,1,ols,0.8114204823234921,,,1475
0.5,target_ruidoso,1,ridge,0.8120221698216822,13.198436433695278,0.01,1475
0.5,target_ruidoso,1,ssrc,0.7944668655668229,27.230286318869528,0.1,1475
0.5,target_ruidoso,2,naive,0.8874867498583056,,,1475
0.5,target_ruidoso,2,nnls,0.7911492450029941,,,1475
0.5,target_ruidoso,2,ols,0.7998809986994496,,,1475
0.5,target_ruidoso,2,ridge,0.8002260571303521,13.611253411793868,0.01,1475
0.5,target_ruidoso,2,ssrc,0.7931638360462486,27.522259171044823,0.1,1475
0.5,target_ruidoso,3,naive,0.8703990888260795,,,1475
0.5,target_ruidoso,3,nnls,0.8102539355953671,,,1475
0.5,target_ruidoso,3,ols,0.8040587882225029,,,1475
0.5,target_ruidoso,3,ridge,0.8014291056035292,12.876405006923518,0.01,1475
0.5,target_ruidoso,3,ssrc,0.7964202515078468,27.34371371078034,0.1,1475
0.5,target_ruidoso,4,naive,0.8444950971698143,,,1475
0.5,target_ruidoso,4,nnls,0.7379327495092671,,,1475
0.5,target_ruidoso,4,ols,0.7553257097984183,,,1475
0.5,target_ruidoso,4,ridge,0.7542482664554875,12.836573796568437,0.01,1475
0.5,target_ruidoso,4,ssrc,0.7680386297523649,27.516307550382706,0.1,1475
