ubicacion,magnitud_sigma,signo,mode,mase_calma,mase_shock,delta_mase_shock_menos_calma,kappa_raw_mediana_calma,kappa_raw_mediana_shock,kappa_ratio_shock_sobre_calma,patron_shock_baja_kappa,n_ventanas_shock
20000,5,-1,ssrc,0.08910591049987387,0.08970771819140066,0.00060180769152679,1284357.0864074712,4924.76421073769,0.0038344197753546506,True,25.0
20000,5,1,naive,0.8609216385777785,0.9840764917842901,0.12315485320651165,1284357.0864074712,4607.559127981836,0.0035874440034973703,True,25.0
20000,5,1,nnls,0.8706540910980196,1.0762401122998166,0.20558602120179703,1284357.0864074712,4607.559127981836,0.0035874440034973703,True,25.0
20000,5,1,ols,0.25221402494338263,0.3490155538924871,0.09680152894910449,1284357.0864074712,4607.559127981836,0.0035874440034973703,True,25.0
20000,5,1,ridge,0.25120577717852943,0.34437615684013834,0.0931703796616089,1284357.0864074712,4607.559127981836,0.0035874440034973703,True,25.0
20000,5,1,ssrc,0.08910591049987387,0.09766764860217352,0.00856173810229964,1284357.0864074712,4607.559127981836,0.0035874440034973703,True,25.0
20000,10,-1,naive,0.8609216385777785,0.912987552625028,0.05206591404724947,1284357.0864074712,19219.90145571452,0.014964608876395355,True,25.0
20000,10,-1,nnls,0.8706540910980196,0.9793962439016154,0.10874215280359578,1284357.0864074712,19219.90145571452,0.014964608876395355,True,25.0
20000,10,-1,ols,0.25221402494338263,0.3073805868442677,0.05516656190088509,1284357.0864074712,19219.90145571452,0.014964608876395355,True,25.0
20000,10,-1,ridge,0.25120577717852943,0.40773985652071176,0.15653407934218233,1284357.0864074712,19219.90145571452,0.014964608876395355,True,25.0
20000,10,-1,ssrc,0.08910591049987387,0.10798597982974757,0.018880069329873697,1284357.0864074712,19219.90145571452,0.014964608876395355,True,25.0
20000,10,1,naive,0.8609216385777785,0.9119725894229055,0.05105095084512701,1284357.0864074712,10521.002136439622,0.008191648761691622,True,25.0
20000,10,1,nnls,0.8706540910980196,1.3230244111165168,0.4523703200184972,1284357.0864074712,10521.002136439622,0.008191648761691622,True,25.0
20000,10,1,ols,0.25221402494338263,0.30614798050712605,0.05393395556374342,1284357.0864074712,10521.002136439622,0.008191648761691622,True,25.0
20000,10,1,ridge,0.25120577717852943,0.33665494757664394,0.0854491703981145,1284357.0864074712,10521.002136439622,0.008191648761691622,True,25.0
20000,10,1,ssrc,0.08910591049987387,0.19618372147082389,0.10707781097095001,1284357.0864074712,10521.002136439622,0.008191648761691622,True,25.0
20000,15,-1,naive,0.8609216385777785,0.8505945910234188,-0.010327047554359647,1284357.0864074712,79681.447824705,0.06203994875567301,True,25.0
20000,15,-1,nnls,0.8706540910980196,0.9012368801926683,0.030582789094648732,1284357.0864074712,79681.447824705,0.06203994875567301,True,25.0
20000,15,-1,ols,0.25221402494338263,0.2399479045611019,-0.012266120382280726,1284357.0864074712,79681.447824705,0.06203994875567301,True,25.0
20000,15,-1,ridge,0.25120577717852943,0.31830756239366936,0.06710178521513993,1284357.0864074712,79681.447824705,0.06203994875567301,True,25.0
20000,15,-1,ssrc,0.08910591049987387,0.1517272025504499,0.06262129205057604,1284357.0864074712,79681.447824705,0.06203994875567301,True,25.0
20000,15,1,naive,0.8609216385777785,0.8497135445585123,-0.011208094019266146,1284357.0864074712,50471.40244756117,0.03929701714710575,True,25.0
20000,15,1,nnls,0.8706540910980196,1.19979235876541,0.3291382676673904,1284357.0864074712,50471.40244756117,0.03929701714710575,True,25.0
20000,15,1,ols,0.25221402494338263,0.23086392575079012,-0.02135009919259251,1284357.0864074712,50471.40244756117,0.03929701714710575,True,25.0
20000,15,1,ridge,0.25120577717852943,0.3427724348482843,0.09156665766975486,1284357.0864074712,50471.40244756117,0.03929701714710575,True,25.0
20000,15,1,ssrc,0.08910591049987387,0.27009757003665,0.18099165953677615,1284357.0864074712,50471.40244756117,0.03929701714710575,True,25.0
20000,20,-1,naive,0.8609216385777785,0.7961839124398509,-0.06473772613792761,1284756.3064965587,233872.28328610174,0.18203629910473468,True,25.0
20000,20,-1,nnls,0.8706540910980196,0.854225256819634,-0.016428834278385596,1284756.3064965587,233872.28328610174,0.18203629910473468,True,25.0
20000,20,-1,ols,0.25221402494338263,0.2269440459252631,-0.02526997901811953,1284756.3064965587,233872.28328610174,0.18203629910473468,True,25.0
20000,20,-1,ridge,0.25120577717852943,0.28982974755466356,0.03862397037613413,1284756.3064965587,233872.28328610174,0.18203629910473468,True,25.0
20000,20,-1,ssrc,0.08910591049987387,0.14536713643341226,0.056261225933538384,1284756.3064965587,233872.28328610174,0.18203629910473468,True,25.0
20000,20,1,naive,0.8609216385777785,0.7954119269239627,-0.0655097116538158,1284756.3064965587,162870.57483759642,0.12677157061928201,True,25.0
20000,20,1,nnls,0.8706540910980196,0.9716186651004153,0.10096457400239567,1284756.3064965587,162870.57483759642,0.12677157061928201,True,25.0
20000,20,1,ols,0.25221402494338263,0.21919382025138245,-0.03302020469200018,1284756.3064965587,162870.57483759642,0.12677157061928201,True,25.0
